1000
6.40
Pchamber	Preservoir	Thrust	Temp
1160.2898	-372.7512	-0.6765	24.5212
1160.2898	-372.7512	-0.5266	24.5212
1159.2134	-373.2506	-0.6765	24.5212
1160.2898	-373.2506	-0.6765	24.5212
1160.2898	-372.2519	-0.3767	24.5212
1160.2898	-372.7512	-0.3767	24.5212
1159.7516	-372.7512	-0.6765	24.5212
1160.2898	-373.2506	-0.6765	24.5212
1160.8280	-372.7512	-0.6765	24.5212
1160.2898	-373.2506	-0.6765	24.5212
1159.7516	-373.2506	-0.6765	24.5212
1160.8280	-373.2506	-0.8264	24.5212
1159.7516	-372.2519	-0.3767	24.5212
1159.7516	-372.2519	-0.6765	24.5212
1160.2898	-372.7512	-0.6765	24.5212
1160.2898	-372.7512	-0.5266	24.5212
1160.2898	-372.2519	-0.5266	24.5212
1159.7516	-372.2519	-0.5266	24.5212
1160.2898	-372.7512	-0.5266	24.5212
1159.7516	-372.7512	-0.8264	24.5212
1160.2898	-373.2506	-0.5266	24.5212
1160.2898	-372.2519	-0.6765	24.5212
1160.8280	-373.2506	-0.5266	24.5212
1159.7516	-372.7512	-0.3767	24.5212
1159.7516	-373.2506	-0.6765	24.5212
1160.2898	-373.2506	-0.6765	24.5212
1160.2898	-373.2506	-0.9763	24.5212
1159.2134	-373.2506	-0.5266	24.5212
1160.2898	-373.2506	-0.6765	24.5212
1160.8280	-372.7512	-0.6765	24.5212
1159.7516	-372.7512	-0.6765	24.5212
1159.2134	-372.7512	-0.5266	24.5212
1159.7516	-373.2506	-0.8264	24.5212
1161.3662	-373.2506	-0.3767	24.5212
1161.3662	-372.7512	-0.6765	24.5212
1158.6753	-372.7512	-0.5266	24.5212
1159.2134	-373.2506	-0.6765	24.5212
1160.2898	-373.2506	-0.6765	24.5212
1160.2898	-372.7512	-0.6765	24.5212
1159.7516	-373.2506	-0.2268	24.5212
1159.7516	-373.7500	-0.5266	24.5212
1160.2898	-372.7512	-0.6765	24.5212
1160.8280	-373.2506	-0.5266	24.5212
1160.2898	-373.2506	-0.5266	24.5212
1160.2898	-372.7512	-0.6765	24.5212
1160.8280	-373.2506	-0.6765	24.5212
1160.8280	-372.7512	-0.6765	24.5212
1160.2898	-372.7512	-0.3767	24.5212
1159.7516	-372.2519	-0.6765	24.5212
1159.7516	-373.2506	-0.6765	24.5212
1160.8280	-372.2519	-0.6765	24.5212
1160.2898	-372.2519	-0.6765	24.5212
1159.7516	-373.2506	-0.6765	24.5212
1159.7516	-372.7512	-0.5266	24.5212
1160.2898	-373.2506	-0.8264	24.5212
1160.2898	-372.2519	-0.5266	24.5212
1159.2134	-373.2506	-0.6765	24.5212
1159.2134	-373.2506	-0.6765	24.5212
1159.2134	-372.7512	-0.5266	24.5212
1159.7516	-372.7512	-0.5266	24.5212
1159.2134	-372.2519	-0.5266	24.5212
1159.2134	-373.2506	-0.6765	24.5212
1159.2134	-372.7512	-0.6765	24.5212
1160.2898	-372.7512	-0.6765	24.5212
1160.2898	-372.7512	-0.6765	24.5212
1160.2898	-373.2506	-0.6765	24.5212
1160.2898	-372.7512	-0.5266	24.5212
1161.3662	-372.7512	-0.5266	24.5212
